date,case
02/05/20,4
02/06/20,19
02/07/20,9
02/08/20,4
02/09/20,10
02/10/20,12
02/11/20,4
02/12/20,10
02/13/20,16
02/14/20,43
02/15/20,86
02/16/20,65
02/17/20,113
02/18/20,9
02/19/20,71
02/20/20,90
02/21/20,85
02/22/20,96
02/23/20,39
02/24/20,104
02/25/20,44
02/26/20,168
02/27/20,151
02/28/20,130
02/29/20,178
03/01/20,96
03/02/20,71
03/03/20,153
03/04/20,3940
03/05/20,699
03/06/20,553
03/07/20,147
03/08/20,110
03/09/20,1314
03/10/20,424
03/11/20,181
03/12/20,1855
03/13/20,859
03/14/20,107
03/15/20,42
03/16/20,2083
03/17/20,203
03/19/20,3490
03/20/20,119
03/21/20,132
03/22/20,56
03/23/20,3862
03/25/20,674
03/26/20,1805
03/27/20,1442
03/28/20,296
03/29/20,206
03/30/20,3481
03/31/20,1914
04/02/20,4685
04/03/20,3305
04/04/20,271
04/05/20,218
04/06/20,7876
04/07/20,4544
04/08/20,1383
04/09/20,2841
04/10/20,5389
04/11/20,1644
04/12/20,57
04/13/20,9252
04/14/20,8255
04/15/20,693
04/16/20,5325
04/17/20,4149
04/18/20,1004
04/19/20,2953
04/20/20,6816
04/21/20,5542
04/22/20,4415
04/23/20,5349
04/24/20,5187
04/25/20,1250
04/26/20,1136
04/27/20,8545
04/28/20,3244
04/29/20,879
04/30/20,8126
05/01/20,6820
05/02/20,880
05/03/20,1012
05/04/20,1332
05/05/20,1569
05/06/20,447
05/07/20,13005
05/08/20,10680
05/09/20,2265
05/10/20,3995
05/11/20,5993
05/12/20,288
05/13/20,10074
05/14/20,5866
05/15/20,3092
05/16/20,4337
05/17/20,4987
05/18/20,5980
05/19/20,3221
05/20/20,3669
05/21/20,4580
05/22/20,3495
05/23/20,2769
05/24/20,1252
05/25/20,3620
05/26/20,2994
05/27/20,3004
05/28/20,3981
05/29/20,3501
05/30/20,2652
05/31/20,1657
06/01/20,3789
06/02/20,4526
06/03/20,3979
06/04/20,4600
06/05/20,4939
06/06/20,3220
06/07/20,1725
06/08/20,4516
06/09/20,4600
06/10/20,5092
06/11/20,4573
06/12/20,5145
06/13/20,2633
06/14/20,1451
06/15/20,4300
06/16/20,4462
06/17/20,1348
06/18/20,6176
06/19/20,4823
06/20/20,2474
06/21/20,4127
06/22/20,5376
06/23/20,3722
06/24/20,4979
06/25/20,4455
06/26/20,4758
06/27/20,3533
06/28/20,1513
06/29/20,5510
06/30/20,4651
07/01/20,6564
07/02/20,5460
07/03/20,6597
07/04/20,3134
07/05/20,2618
07/06/20,8228
07/07/20,7099
07/08/20,7725
07/09/20,7700
07/10/20,8955
07/11/20,5362
07/12/20,1838
07/13/20,10552
07/14/20,11154
07/15/20,11343
