time,year,month,pop,vac,vac2,d,d2,prop_vac
1,2010,1,100000,0,0,1600,106,0
2,2010,2,100000,0,0,1750,142,0
3,2010,3,100000,0,0,1730,123,0
4,2010,4,100000,0,0,1850,152,0
5,2010,5,100000,0,0,2000,135,0
6,2010,6,100000,0,0,2100,165,0
7,2010,7,100000,0,0,1950,139,0
8,2010,8,100000,0,0,2010,177,0
9,2010,9,100000,0,0,1780,153,0
10,2010,10,100000,0,0,1690,185,0
11,2010,11,100000,0,0,1710,159,0
12,2010,12,100000,0,0,1600,192,0
13,2011,1,100000,0,0,1630,171,0
14,2011,2,100000,0,0,1710,208,0
15,2011,3,100000,0,0,1690,179,0
16,2011,4,100000,0,0,1850,212,0
17,2011,5,100000,0,0,1880,193,0
18,2011,6,100000,0,0,1950,226,0
19,2011,7,100000,0,0,1790,203,0
20,2011,8,100000,0,0,1810,239,0
21,2011,9,100000,0,0,1700,207,0
22,2011,10,100000,0,0,1640,243,0
23,2011,11,100000,0,0,1590,221,0
24,2011,12,100000,0,0,1610,269,0
25,2012,1,100000,0,1,1450,365,0.01
26,2012,2,100000,0,1,1420,334,0.01
27,2012,3,100000,0,1,1510,405,0.01
28,2012,4,100000,0,1,1550,392,0.01
29,2012,5,100000,0,1,1620,411,0.01
30,2012,6,100000,0,1,1650,410,0.01
31,2012,7,100000,0,1,1550,441,0.01
32,2012,8,100000,0,1,1590,430,0.01
33,2012,9,100000,0,1,1450,451,0.01
34,2012,10,100000,0,1,1400,440,0.01
35,2012,11,100000,0,1,1350,480,0.01
36,2012,12,100000,0,1,1300,472,0.01
37,2013,1,100000,0,1,1290,502,0.02
38,2013,2,100000,0,1,1350,495,0.02
39,2013,3,100000,0,1,1300,522,0.02
40,2013,4,100000,0,1,1400,501,0.02
41,2013,5,100000,0,1,1480,544,0.02
42,2013,6,100000,0,1,1500,531,0.02
43,2013,7,100000,0,1,1430,561,0.02
44,2013,8,100000,0,1,1380,551,0.02
45,2013,9,100000,0,1,1250,582,0.02
46,2013,10,100000,0,1,1300,572,0.02
47,2013,11,100000,0,1,1100,603,0.02
48,2013,12,100000,0,1,950,670,0.02
49,2014,1,100000,1,2,850,871,0.8
50,2014,2,100000,1,2,740,790,0.81
51,2014,3,100000,1,2,760,884,0.82
52,2014,4,100000,1,2,780,913,0.83
53,2014,5,100000,1,2,700,889,0.84
54,2014,6,100000,1,2,850,953,0.85
55,2014,7,100000,1,2,700,910,0.86
56,2014,8,100000,1,2,760,999,0.87
57,2014,9,100000,1,2,580,930,0.88
58,2014,10,100000,1,2,600,1022,0.89
59,2014,11,100000,1,2,520,990,0.9
60,2014,12,100000,1,2,420,1070,0.91
61,2015,1,100000,1,2,480,1005,0.92
62,2015,2,100000,1,2,500,1098,0.93
63,2015,3,100000,1,2,540,1030,0.94
64,2015,4,100000,1,2,490,1105,0.95
65,2015,5,100000,1,2,560,1080,0.95
66,2015,6,100000,1,2,580,1150,0.95
67,2015,7,100000,1,2,480,1078,0.95
68,2015,8,100000,1,2,500,1190,0.95
69,2015,9,100000,1,2,400,1150,0.95
70,2015,10,100000,1,2,270,1200,0.95
71,2015,11,100000,1,2,310,1130,0.95
72,2015,12,100000,1,2,280,1189,0.95
