year,week,case
2009,1,0.17
2009,2,0.38
2009,3,0.30000001
2009,4,0.33000001
2009,5,0.34
2009,6,0.31999999
2009,7,0.30000001
2009,8,0.25999999
2009,9,0.28999999
2009,10,0.31
2009,11,0.38999999
2009,12,0.40000001
2009,13,0.41999999
2009,14,0.31999999
2009,15,0.34
2009,16,0.44
2009,17,0.38999999
2009,18,0.37
2009,19,0.38999999
2009,20,0.41999999
2009,21,0.43000001
2009,22,0.51999998
2009,23,0.44999999
2009,24,0.47999999
2009,25,0.47999999
2009,26,0.47
2009,27,0.44999999
2009,28,0.38999999
2009,29,0.36000001
2009,30,0.34999999
2009,31,0.31999999
2009,32,0.36000001
2009,33,0.38
2009,34,0.33000001
2009,35,0.31
2009,36,0.34999999
2009,37,0.34999999
2009,38,0.34999999
2009,39,0.25
2009,40,0.30000001
2009,41,0.25999999
2009,42,0.34
2009,43,0.37
2009,44,0.30000001
2009,45,0.31
2009,46,0.25
2009,47,0.28
2009,48,0.23999999
2009,49,0.31999999
2009,50,0.33000001
2009,51,0.30000001
2009,52,0.20999999
2010,1,0.33000001
2010,2,0.18000001
2010,3,0.30000001
2010,4,0.31
2010,5,0.25
2010,6,0.31
2010,7,0.34999999
2010,8,0.38999999
2010,9,0.37
2010,10,0.38
2010,11,0.44999999
2010,12,0.34
2010,13,0.28999999
2010,14,0.27000001
2010,15,0.30000001
2010,16,0.40000001
2010,17,0.47
2010,18,0.41999999
2010,19,0.38
2010,20,0.47
2010,21,0.46000001
2010,22,0.5
2010,23,0.50999999
2010,24,0.54000002
2010,25,0.44999999
2010,26,0.41
2010,27,0.41
2010,28,0.34
2010,29,0.37
2010,30,0.37
2010,31,0.34999999
2010,32,0.34
2010,33,0.33000001
2010,34,0.31
2010,35,0.33000001
2010,36,0.31999999
2010,37,0.38
2010,38,0.34
2010,39,0.41
2010,40,0.57999998
2010,41,0.50999999
2010,42,0.67000002
2010,43,0.61000001
2010,44,0.58999997
2010,45,0.72000003
2010,46,0.70999998
2010,47,0.67000002
2010,48,0.72000003
2010,49,0.62
2010,50,0.63
2010,51,0.64999998
2010,52,0.40000001
2011,1,0.43000001
2011,2,0.43000001
2011,3,0.44999999
2011,4,0.43000001
2011,5,0.54000002
2011,6,0.38
2011,7,0.40000001
2011,8,0.43000001
2011,9,0.38999999
2011,10,0.37
2011,11,0.31999999
2011,12,0.25999999
2011,13,0.31999999
2011,14,0.31
2011,15,0.34999999
2011,16,0.36000001
2011,17,0.41
2011,18,0.31
2011,19,0.36000001
2011,20,0.40000001
2011,21,0.41
2011,22,0.44999999
2011,23,0.58999997
2011,24,0.50999999
2011,25,0.76999998
2011,26,0.61000001
2011,27,0.64999998
2011,28,0.68000001
2011,29,0.56999999
2011,30,0.67000002
2011,31,0.62
2011,32,0.69999999
2011,33,0.74000001
2011,34,0.64999998
2011,35,0.74000001
2011,36,0.72000003
2011,37,0.87
2011,38,0.60000002
2011,39,0.97000003
2011,40,1.08
2011,41,1.23
2011,42,1.13
2011,43,1.2
2011,44,1.15
2011,45,1.25
2011,46,1.26
2011,47,1.25
2011,48,1.46
2011,49,1.51
2011,50,1.3
2011,51,1.1900001
2011,52,1
2012,1,1.1
2012,2,0.92000002
2012,3,0.98000002
2012,4,0.77999997
2012,5,0.79000002
2012,6,0.83999997
2012,7,0.83999997
2012,8,0.81999999
2012,9,0.76999998
2012,10,0.79000002
2012,11,0.79000002
2012,12,0.74000001
2012,13,0.70999998
2012,14,0.62
2012,15,0.70999998
2012,16,0.79000002
2012,17,0.69
2012,18,0.66000003
2012,19,0.74000001
2012,20,0.79000002
2012,21,0.94999999
2012,22,0.82999998
2012,23,0.88
