date,dtemp
2010-06-01,68.888885
2010-06-02,73.125
2010-06-03,72.176468
2010-06-04,71.735291
2010-06-05,74.388885
2010-06-06,64.702126
2010-06-07,61.25
2010-06-08,59.85294
2010-06-09,53.444443
2010-06-10,62.289474
2010-06-11,65.117645
2010-06-12,63.040817
2010-06-13,63.060001
2010-06-14,64.438599
2010-06-15,63.81818
2010-06-16,62.9375
2010-06-17,63.53846
2010-06-18,70.78125
2010-06-19,75.71875
2010-06-20,76.166664
2010-06-21,73.53125
2010-06-22,68.794121
2010-06-23,72.159088
2010-06-24,76.052635
2010-06-25,71.75
2010-06-26,68.84375
2010-06-27,72.75
2010-06-28,76.714287
2010-06-29,69.78125
2010-06-30,61.40625
2010-07-01,61.25
2010-07-02,66.28125
2010-07-03,72.34375
2010-07-04,75.78125
2010-07-05,79.96875
2010-07-06,85.65625
2010-07-07,84.53125
2010-07-08,83.34375
2010-07-09,81.71875
2010-07-10,74.463417
2010-07-11,77.485718
2010-07-12,80.15625
2010-07-13,74.195656
2010-07-14,74.275002
2010-07-15,78.235291
2010-07-16,78.882355
2010-07-17,76.285713
2010-07-18,74.294121
2010-07-19,75.875
2010-07-20,73.75
2010-07-21,74.540543
2010-07-22,73.15625
2010-07-23,68.022224
2010-07-24,77.297874
2010-07-25,74.441177
2010-07-26,71.90625
2010-07-27,74.709679
2010-07-28,77.0625
2010-07-29,75.90625
2010-07-30,68.09375
2010-07-31,64.0625
2010-08-01,69.65625
2010-08-02,74.84375
2010-08-03,77.121216
2010-08-04,81.71875
2010-08-05,77.37838
2010-08-06,71.625
2010-08-07,67.59375
2010-08-08,72.65625
2010-08-09,78.852943
2010-08-10,76.897438
2010-08-11,76.15625
2010-08-12,72.058823
2010-08-13,72.75
2010-08-14,72.6875
2010-08-15,68.777779
2010-08-16,73.380951
2010-08-17,72.65625
2010-08-18,72.375
2010-08-19,73.294121
2010-08-20,69.15625
2010-08-21,66.34375
2010-08-22,68.288887
2010-08-23,64
2010-08-24,67.09375
2010-08-25,67.738098
2010-08-26,68.46875
2010-08-27,63.78125
2010-08-28,65.71875
2010-08-29,72.19355
2010-08-30,75.09375
2010-08-31,79.15625
2010-09-01,78.235291
2010-09-02,79.96875
2010-09-03,77.9375
2010-09-04,67.78125
2010-09-05,60.65625
2010-09-06,63.9375
2010-09-07,74.875
2010-09-08,66.75
2010-09-09,60.849998
2010-09-10,59.485714
2010-09-11,59.228573
2010-09-12,61.125
2010-09-13,62.771427
2010-09-14,58.232559
2010-09-15,55.515152
2010-09-16,58.179485
2010-09-17,58.046513
2010-09-18,60.15625
2010-09-19,61.270271
2010-09-20,57.5
2010-09-21,58.53125
2010-09-22,68.611115
2010-09-23,65.65625
2010-09-24,75.15625
2010-09-25,69.78125
2010-09-26,60.875
2010-09-27,59.469387
2010-09-28,70.541664
2010-09-29,66.63636
2010-09-30,64.245285
2010-10-01,58.803921
2010-10-02,53.090908
2010-10-03,50.375
2010-10-04,51.35294
2010-10-05,53.694443
2010-10-06,53.706898
2010-10-07,55.209301
2010-10-08,59.875
2010-10-09,55.78125
2010-10-10,50.6875
2010-10-11,56.09375
2010-10-12,51.21875
2010-10-13,45.944443
2010-10-14,46
2010-10-15,47.761906
2010-10-16,47.4375
2010-10-17,48.5625
2010-10-18,46.625
2010-10-19,41.21875
2010-10-20,47.25
2010-10-21,47.088234
2010-10-22,39.125
2010-10-23,45.342857
2010-10-24,44.5
2010-10-25,51.891891
2010-10-26,61.770832
2010-10-27,64.037735
2010-10-28,57.058823
2010-10-29,45.60606
2010-10-30,45.727272
2010-10-31,42.694443
2010-11-01,37.71875
2010-11-02,39.25
2010-11-03,38.939392
2010-11-04,42.829269
2010-11-05,43.387756
2010-11-06,39.235294
2010-11-07,37.472221
2010-11-08,34.622952
2010-11-09,39.32653
2010-11-10,41.84375
2010-11-11,39.645161
2010-11-12,39.375
2010-11-13,40.5625
2010-11-14,44.3125
2010-11-15,47.820515
2010-11-16,47.48
2010-11-17,50.780487
2010-11-18,43.35294
2010-11-19,35.59375
2010-11-20,39.96875
2010-11-21,32.125
2010-11-22,47.37838
2010-11-23,52.088234
2010-11-24,37.542858
2010-11-25,29.058823
2010-11-26,36.472221
2010-11-27,33.594593
2010-11-28,30.558823
2010-11-29,35.21875
2010-11-30,40.219513
2010-12-01,48.270832
2010-12-02,33.9375
2010-12-03,32.65625
2010-12-04,30.4375
2010-12-05,27.588236
2010-12-06,25.944445
2010-12-07,26.82353
2010-12-08,22.861111
2010-12-09,16.125
2010-12-10,18.15625
2010-12-11,31.40625
2010-12-12,37.069767
2010-12-13,32.942307
2010-12-14,16.16279
2010-12-15,15.9375
2010-12-16,22.857143
2010-12-17,22.53125
2010-12-18,25.67742
2010-12-19,19.270269
2010-12-20,23.04878
2010-12-21,25.882353
2010-12-22,27.69697
2010-12-23,27.31579
2010-12-24,25.32353
2010-12-25,20.351351
2010-12-26,17.5
2010-12-27,17.943396
2010-12-28,25.685715
2010-12-29,30.973684
2010-12-30,27.21875
2010-12-31,35.777779
2011-01-01,42.75
2011-01-02,38.416668
2011-01-03,26.21875
2011-01-04,25.75
2011-01-05,26.96875
2011-01-06,21.96875
2011-01-07,25.647888
2011-01-08,23.897959
2011-01-09,23.888889
2011-01-10,21.558823
2011-01-11,19.674999
2011-01-12,20.482759
2011-01-13,19.40625
2011-01-14,13.742857
2011-01-15,14.842105
2011-01-16,22.75
2011-01-17,9.1764708
2011-01-18,21.289856
2011-01-19,27.186441
2011-01-20,20.307692
2011-01-21,19.454546
2011-01-22,11.055555
2011-01-23,5.7727275
2011-01-24,-2.7428572
2011-01-25,9.6829271
2011-01-26,24.96875
2011-01-27,28.6875
2011-01-28,24.742857
2011-01-29,27.820513
2011-01-30,24.615385
2011-01-31,15.5
2011-02-01,12.508474
2011-02-02,19.257143
2011-02-03,16.90625
2011-02-04,17.060606
2011-02-05,27.169231
2011-02-06,32.209301
2011-02-07,32.459461
2011-02-08,24.81579
2011-02-09,16.875
2011-02-10,15.1875
2011-02-11,10.53125
2011-02-12,26.052631
2011-02-13,28.9375
2011-02-14,40.40625
2011-02-15,17.59375
2011-02-16,25.84375
2011-02-17,37.625
2011-02-18,47.96875
2011-02-19,25.782608
2011-02-20,19
2011-02-21,18.533333
2011-02-22,13.78125
2011-02-23,15.9375
2011-02-24,25.15625
2011-02-25,30.89855
2011-02-26,27.657143
2011-02-27,27.829268
2011-02-28,35.775002
2011-03-01,27.363636
2011-03-02,29.027779
2011-03-03,14.96875
2011-03-04,25
2011-03-05,42.411766
2011-03-06,40.479168
2011-03-07,25.611111
2011-03-08,21.59375
2011-03-09,27.21875
2011-03-10,38.469387
2011-03-11,45.684212
2011-03-12,38.9375
2011-03-13,39.617645
2011-03-14,34.5
2011-03-15,35.96875
2011-03-16,40.081635
2011-03-17,47.96875
2011-03-18,53.25
2011-03-19,38.578949
2011-03-20,34.875
2011-03-21,36.450001
2011-03-22,38.657143
2011-03-23,29.470589
2011-03-24,31.314285
2011-03-25,29.75
2011-03-26,27.125
2011-03-27,28.34375
2011-03-28,32.34375
2011-03-29,35.03125
2011-03-30,42.40625
2011-03-31,42.6875
2011-04-01,36.036366
2011-04-02,44.09375
2011-04-03,45.03125
2011-04-04,44.682926
2011-04-05,42.390244
2011-04-06,39.84375
2011-04-07,41.375
2011-04-08,42.40625
2011-04-09,48.3125
2011-04-10,53.46875
2011-04-11,63.756756
2011-04-12,54.9375
2011-04-13,46.942856
2011-04-14,51
2011-04-15,42.0625
2011-04-16,42.285713
2011-04-17,47.474998
2011-04-18,43.861111
2011-04-19,41.5
2011-04-20,46.345455
2011-04-21,41.756756
2011-04-22,42.78125
2011-04-23,44.938774
2011-04-24,55.9375
2011-04-25,52.799999
2011-04-26,64.521736
2011-04-27,70.37838
2011-04-28,67.204079
2011-04-29,51.90625
2011-04-30,53.34375
2011-05-01,56.71875
2011-05-02,56.3125
2011-05-03,59.57143
2011-05-04,48.930233
2011-05-05,49.03125
2011-05-06,55.90625
2011-05-07,57.484848
2011-05-08,55.8125
2011-05-09,56.666668
2011-05-10,58
2011-05-11,61.1875
2011-05-12,63.0625
2011-05-13,59.1875
2011-05-14,60.029411
2011-05-15,55.272728
2011-05-16,53.676472
2011-05-17,56.792454
2011-05-18,61.853657
2011-05-19,63.709091
2011-05-20,62.489796
2011-05-21,61.653061
2011-05-22,61.371429
2011-05-23,59.57143
2011-05-24,68.588234
2011-05-25,65.46875
2011-05-26,74.783783
2011-05-27,72.21212
2011-05-28,71.86364
2011-05-29,76.147057
2011-05-30,77.78125
2011-05-31,76.066666
2011-06-01,78.914284
2011-06-02,60.4375
2011-06-03,61.1875
2011-06-04,62.96875
2011-06-05,61.84375
2011-06-06,69.71875
2011-06-07,74.375
2011-06-08,76.045456
2011-06-09,74.352943
2011-06-10,70.117645
2011-06-11,60.733334
2011-06-12,62.375
2011-06-13,61.823528
2011-06-14,59
2011-06-15,65.84375
2011-06-16,71.1875
2011-06-17,66.681816
2011-06-18,71.361115
2011-06-19,66.90625
2011-06-20,67.6875
2011-06-21,71.032257
2011-06-22,66.163933
2011-06-23,67.425529
2011-06-24,66.37838
2011-06-25,67.195656
2011-06-26,68.486488
2011-06-27,72.235291
2011-06-28,73.157898
2011-06-29,66.431816
2011-06-30,67.457146
2011-07-01,68.09375
2011-07-02,72.542854
2011-07-03,70.537041
2011-07-04,74.342857
2011-07-05,74.40625
2011-07-06,73.972221
2011-07-07,73.90625
2011-07-08,70.809525
2011-07-09,72.216217
2011-07-10,73.84375
2011-07-11,79.96875
2011-07-12,81.03125
2011-07-13,72.5
2011-07-14,69.75
2011-07-15,71.75
2011-07-16,74.3125
